date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
3,93,7,1004,Light rain. Mostly cloudy.
2,93,11,1004,Light rain. Mostly cloudy.
2,100,7,1004,Mostly cloudy.
2,100,4,1004,Mostly cloudy.
2,100,4,1004,Mostly cloudy.
2,93,2,1004,Mostly cloudy.
2,93,4,1005,Low clouds.
2,93,6,1005,Drizzle. Fog.
2,93,6,1005,Drizzle. Fog.
2,93,6,1005,Drizzle. Fog.
2,93,4,1005,Drizzle. Fog.
2,93,2,1005,Drizzle. Fog.
2,100,2,1005,Drizzle. Fog.
2,93,4,1005,Drizzle. Fog.
2,93,4,1006,Drizzle. Fog.
2,93,6,1006,Drizzle. Fog.
2,93,6,1006,Drizzle. Fog.
1,100,2,1007,Fog.
2,93,4,1007,Fog.
2,100,6,1007,Broken clouds.
3,93,7,1008,Partly sunny.
3,93,6,1008,Partly sunny.
3,93,6,1008,Broken clouds.
3,87,6,1008,Broken clouds.
3,93,7,1008,Partly sunny.
3,93,7,1008,Broken clouds.
4,81,7,1008,Broken clouds.
4,81,6,1008,Broken clouds.
4,81,4,1008,Broken clouds.
4,87,6,1008,Broken clouds.
4,87,4,1009,Broken clouds.
3,87,7,1009,Light rain. Broken clouds.
3,87,11,1009,Light rain. Partly sunny.
3,93,7,1009,Light rain. Passing clouds.
3,93,6,1010,Light rain. Passing clouds.
3,93,7,1010,Passing clouds.
2,100,6,1010,Partly cloudy.
3,93,7,1010,Passing clouds.
2,100,6,1010,Partly cloudy.
2,93,2,1011,Passing clouds.
2,93,2,1011,Passing clouds.
2,93,4,1011,Partly cloudy.
2,93,2,1011,Partly cloudy.
2,93,2,1011,Light rain. Partly cloudy.
2,93,2,1012,Partly cloudy.
2,100,6,1012,Partly cloudy.
2,93,6,1012,Passing clouds.
2,93,7,1012,Passing clouds.
2,93,6,1012,Passing clouds.
1,100,4,1012,Passing clouds.
1,93,2,1012,Snow. Passing clouds.
1,93,2,1012,Snow. Fog.
0,100,2,1012,Ice fog.
0,100,0,1013,Ice fog.
0,100,0,1013,Ice fog.
1,93,2,1013,Passing clouds.
1,93,4,1013,Passing clouds.
1,100,4,1013,Passing clouds.
1,100,9,1013,Passing clouds.
1,93,6,1013,Passing clouds.
1,100,11,1013,Passing clouds.
1,100,6,1013,Passing clouds.
1,93,9,1013,Passing clouds.
1,93,6,1013,Passing clouds.
1,93,7,1014,Partly sunny.
2,87,7,1014,Partly sunny.
2,87,9,1014,Partly sunny.
2,87,11,1014,Partly sunny.
3,81,13,1014,Chilly.
3,81,11,1014,Partly sunny.
3,75,9,1014,Partly sunny.
3,75,4,1014,Partly sunny.
4,70,7,1013,Partly sunny.
4,65,9,1013,Partly sunny.
4,70,11,1013,Partly sunny.
4,65,17,1013,Partly sunny.
4,61,15,1013,Partly sunny.
4,61,15,1013,Partly sunny.
3,65,15,1013,Partly sunny.
4,61,13,1013,Partly sunny.
3,65,15,1013,Passing clouds.
3,65,9,1013,Passing clouds.
3,70,13,1013,Passing clouds.
3,70,7,1013,Passing clouds.
3,70,11,1012,Passing clouds.
3,70,9,1012,Passing clouds.
3,70,13,1012,Passing clouds.
3,75,15,1012,Passing clouds.
2,75,9,1012,Passing clouds.
2,75,11,1012,Passing clouds.
2,75,11,1012,Passing clouds.
1,81,9,1012,Passing clouds.
2,75,15,1012,Passing clouds.
2,70,9,1012,Clear.
1,75,13,1012,Clear.
1,75,11,1012,Passing clouds.
1,75,11,1012,Passing clouds.
1,81,13,1011,Passing clouds.
2,75,13,1011,Passing clouds.
2,70,15,1011,Passing clouds.
2,75,13,1011,Passing clouds.
2,75,11,1011,Passing clouds.
2,75,11,1011,Passing clouds.
2,75,7,1011,Passing clouds.
2,75,9,1011,Overcast.
2,81,6,1011,Overcast.
1,87,2,1011,Overcast.
1,87,6,1011,Overcast.
2,75,7,1011,Overcast.
2,81,13,1011,Mostly cloudy.
3,75,15,1011,Overcast.
3,75,15,1011,Overcast.
3,75,17,1010,Broken clouds.
3,75,15,1011,Light snow. Broken clouds.
3,75,13,1011,Light snow. Broken clouds.
3,75,19,1011,Light snow. Broken clouds.
3,75,19,1011,Light rain. Partly sunny.
3,81,19,1011,Light rain. Broken clouds.
3,81,22,1011,Partly sunny.
3,81,20,1011,Light rain. Partly sunny.
